活着,余华 / 作家出版社 / 2012-8-1 / 20.00元,9.3,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
中国古代文化常识,王力 编 / 世界图书出版公司 / 2008-1 / 25.00元,9.0,《中国古代文化常识》(插图修订第4版)是北京大学王力教授主持并召集众多专家共同编写的关于中国古代文化常识的简明读本，出版46年来前后历经4次重要修订。到今天...
人类简史,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00,9.1,十万年前，地球上至少有六种不同的人 但今日，世界舞台为什么只剩下了我们自己？ 从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人， 从雪维洞穴壁上的原始...
伟大的博弈,[美] 约翰·S. 戈登 / 祁斌 / 中信出版社 / 2005-1 / 39.00元,8.3,《伟大的博弈》是一部讲述以华尔街为代表的美国资本市场发展历史的著作。这本书以华尔街为主线展示了美国资本市场发展的全过程。它生动地讲述了华尔街从一条普普通通的...
明朝那些事儿（壹）,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,8.7,从朱元璋的出身开始写起，到永乐大帝夺位的靖难之役结束为止。叙述了明朝最艰苦卓绝的开国过程。朱元璋pk陈友谅，谁堪问鼎天下？战太平、太湖大决战。卧榻之侧埋恶虎...
清明上河图密码,冶文彪 / 北京联合出版公司 / 2015-1-1 / 49.90元,8.2,全图824位人物，每个人都有名有姓，佯装、埋伏在舟船车轿、酒肆楼阁中。看似太平盛世，其实杀机四伏。翻开本书，在小贩的叫卖声中，金、辽、西夏、高丽等国的间谍、...
万历十五年,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9,万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，...
谜宫·如意琳琅图集,故宫博物院 / 故宫出版社 / 2018-12 / 168元,9.2,乾隆三十一年（1766年），宫中一位已经去世的御用画师，留下了一本名为《如意琳琅图籍》的遗作，书中有诸多难以理解之处，被称为“无用之书”。渐渐地，此书被人遗...
中国历代政治得失,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观...
显微镜下的大明,马伯庸 / 湖南文艺出版社 / 2019-1 / 52.00元,8.7,★ 马伯庸全新历史纪实作品，一本值得收藏的明朝历史书 ★ 六件罕为人知的明代档案，六个尘封已久的民生往事 ★ 生动的基层治政手册，于细微处读懂真正的古代中国...
：秦与汉 [美]陆威仪（Mark Edward Lew...
君主论,[意]尼科洛·马基雅维里 / 潘汉典 / 商务印书馆 / 1985-7 / 9.00,8.7,从十五世纪下半叶起，以意大利为发源地，欧洲进入了文艺复兴时期。正如恩格斯曾经指出的，这是一次人类从来没有经历过的最伟大的、进步的变化，是一个需要巨人的时代，...
明朝那些事儿（1-9）,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.1,《明朝那些事儿》讲述从1344年到1644年，明朝三百年间的历史。作品以史料为基础，以年代和具体人物为主线，运用小说的笔法，对明朝十七帝和其他王公权贵和小人...
许倬云观世变,许倬云 / 广西师范大学出版社 / 2019-3 / 36.00元,8.0,★从普通人身边的细微之处，发现另一个中国 历史未必都是王侯将相的宏大故事，普通人的一日三餐、起居生活亦是不可或缺的部分。许倬云由社会史切入，分析民众的思想与...
巨人的陨落,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9,在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴...
从黎明到衰落（上下）,[美] 雅克·巴尔赞 / 林华 / 中信出版社 / 2013-11 / 98.00元,8.9,编辑推荐： ★30岁构思，50余年酝酿，85岁动笔，93岁出版，美国“国宝级历史学家”雅克•巴尔赞毕生心血巨著！ ★《纽约时报书评》惊叹：史学大师的绝世之作...
人类群星闪耀时,[奥地利] 斯蒂芬·茨威格 / 梁锡江 / 江苏凤凰文艺出版社 / 2019-4-1 / 69,8.8,编辑推荐 ◆14个改变人类命运的天才，14个影响人类文明的瞬间！ ◆《人类群星闪耀时》从历史上的1000亿人中选出这14个人，展现人类的精神力量有多强大！ ...
伯罗奔尼撒战争史,[古希腊] 修昔底德 / 谢德风 / 商务印书馆 / 1960 / 40.00元,9.0,公元前424-423年的冬季，当伯拉西达袭击安菲玻里城的时候，他正指挥七条雅典战舰驻扎在塔索斯。驻守安菲玻里城的雅典将军攸克利求援于他，他驶往援救；他虽然打...
家族、土地与祖先,[美]易劳逸 / 苑杰 / 重庆出版社 / 2019-1 / 69.80元,8.1,长时段、全球史视野下的中国近世史典范之作哈佛大学教授费正清弟子、著名汉学家易劳逸重新审视中国近世史的力作《历史》《历史学家》《亚洲》《经济史学刊》等媒体推荐...
你一定爱读的极简欧洲史,约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元,8.2,“欧洲，为什么老是抢第一？”澳大利亚知名历史学家约翰•赫斯特在本书中的一场引人入胜的探索，为我们梳理出欧洲文明所以能改变全世界的各种特质。 作者从三大元素：...
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元,8.8,为什么是欧亚大陆人征服、赶走或大批杀死印第安人、澳大利亚人和非洲人，而不是相反？为什么么小麦和玉米、牛和猪以及现代世界的其他一些“不了起的”作物和牲畜出现在...
货币战争,宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元,7.2,为什么你不知道美联储是私有的中央银行？ 为什么华尔街风险资本会选中希特勒作为“投资”对象？ 为什么美国总统遇刺的比例高于美军诺曼底登陆一线部队的伤亡率？ 自...
棉花帝国,[美]斯文·贝克特 / 徐轶杰、杨燕 / 后浪丨民主与建设出版社 / 2019-4 / 118.00元,8.8,2015年班克罗夫特奖获奖作品，王希、仲伟民、李伯重联袂推荐！ 以棉花工业联动六大洲的历史描述资本主义全球化的进程， 提出“战争资本主义”概念，颠覆“自由资...
袍哥,王笛 / 北京大学出版社 / 2018-10 / 69.00元,7.4,袍哥是1949年之前活跃于长江中上游的秘密社会组织，其影响力与青帮、洪门不相上下。当其最盛时，川省约有70%成年男子加入，影响力及于各个角落，在川军、湘军中...
白鹿原,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.7,这是一部渭河平原五十年变迁的雄奇史诗，一轴中国农村班斓多彩、触目惊心的长幅画卷。主人公六娶六丧，神秘的序曲预示着不祥。一个家族两代子孙，为争夺白鹿原的统治代...
古拉格群岛（上中下）,[俄] 亚历山大·索尔仁尼琴 / 田大畏 等 / 群众出版社 / 1996-12 / 96.00元,9.2,“献给没有生存下来的诸君，要叙述此事他们已无能为力。但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。” 1970年诺贝尔文学奖得主亚历山大・索尔仁...
哲学家们都干了些什么,林欣浩 / 北京联合出版公司 / 2015-4 / 52.00元,8.6,“哲学史写得这么浅白风趣八卦，你让我们哲学系的人还怎么混？！” 轰动豆瓣的奇葩之书，连续三年蝉联豆瓣电子阅读榜第一的神作 经作者全面修订后，2015年重新问...
欧洲中世纪史,朱迪斯·M·本内特(Judith M.bennett)、C·沃伦·霍利斯特(C.Warren Hollister) / 杨宁、李韵 / 上海社会科学院出版社 / 2007-11-1 / 58.00元,8.9,本书是欧洲中世纪史研究方面的经典著作，为美国数百所高校采用作为教材。 本书的一大特色是C·沃伦·霍利斯特清晰的历史观和动人的教学法，现经朱迪斯·本内特...
菊与刀,（美）鲁思・本尼迪克特 / 吕万和、熊达云、王智新 / 商务印书馆 / 1990-6 / 16.00,8.2,“菊”本是日本皇室家徽，“刀”是武士道文化的象征。美国人类学家鲁思・本尼迪克特用《菊与刀》来揭示日本人的矛盾性格亦即日本文化的双重性(如爱美而黩武、尚礼而好...
世界小史,[英] 恩斯特·贡布里希 / 吴秀杰 / 广西师范大学出版社 / 2016-1 / 48.00,8.7,本书由著名艺术史家贡布里希撰写，一经出版便受到热烈欢迎。作者用成熟睿智的文笔，将人类自古至今几千年的历程浓缩在这本小书里，为读者描绘了一幅幅神态鲜明、脉络清...
全球通史,(美) 斯塔夫里阿诺斯 / 吴象婴、梁赤民、董书慧、王昶 / 北京大学出版社 / 2012-2-1 / 168.00元,9.1,《全球通史》由斯塔夫里阿诺斯著，吴象婴、梁赤民、董书慧、王昶译，作者在本书中采用全新的史学观点和方法，将整个世界看作一个不可分割的有机的统一体，从全球的角度...
台北人,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,8.9,作为20世纪中文小说100强的《台北人》，是一部深具复杂性的短篇小说集，由十四个一流的短篇小说构成，串联成一体，则效果遽然增加，不但小说之幅面变广，使我们看...
枢纽,施展 / 广西师范大学出版社 / 2018-1 / 99.00,7.5,▼内容简介 这本书能带你看懂： 中国历史演进的逻辑； 中国奇迹持续的原因； 以及，该如何认知我们的世界角色。 在这个关键节点，每个人都在思考未来。 我们在思...
王的归程,[英] 威廉·达尔林普尔(William Dalrymple) / 何畅炜、李飚 / 社会科学文献出版社 / 2019-3 / 96.00元,7.9,1839年春，英国人武装入侵阿富汗，几乎未遇抵抗。但两年后，阿富汗人揭竿而起，义民起事演变成举国上下的暴力反抗。第一次英阿战争以不列颠惨败告终。威廉·达尔林...
半小时漫画世界史,陈磊（笔名：二混子） / 江苏凤凰文艺出版社 / 2018-4-4 / 39.90元,7.5,看半小时漫画，通五千年历史，脉络无比清晰，看完就能倒背。 仅仅通过手绘和段子，二混子就捋出清晰的历史大脉络：简到崩溃的极简欧洲史、美国往 事三部曲、一口气...
The Art of Being Governed,Michael Szonyi / Princeton University Press / 2017-12-5 / USD 35.00,8.7,How did ordinary people in the Ming dynasty (1368-1644) deal with the demands ...
午夜北平,[英]保罗·法兰奇 / 蓝莹 / 社会科学文献出版社 / 2019-3 / 86.00元,8.7,1937年1月，在外人免入的北平使馆区里，外侨们紧张地等待着达摩克利斯之剑落下。日军已经占领东北，准备挥师南下。据说，蒋介石和他摇摇欲坠的南京政府已准备与东...
诸葛武侯,[日] 内藤湖南 / 张真 / 江苏人民出版社 / 2019-4 / 42.00元,6.7,《诸葛武侯》出于日本“东洋史巨擘”内藤湖南之手，观点新颖，考证严谨，言必有据，据必翔实，显示了作者渊博的学识和深厚的学术功底。从《诸葛武侯》开始，内藤湖南正...
党员、党权与党争,王奇生 / 华文出版社 / 2010-11 / 48.00元,9.1,《党员、党权与党争:1924—1949年中国国民党的组织形态》中讲述了国民党政权是中国历史上出现的第一个党治政权。它的建立，标志着中国政治形态在漫长的王朝帝...
讲给大家的中国历史01,杨照 / 中信出版集团·见识城邦 / 2018-10 / 48.00元,9.2,【编辑推荐】 新材料，新成果，新写法 讲给普通大众的130堂中国历史课，寻找被忽略的历史逻辑 ----------------- 1.这套中国历史，作者已经...
罗马帝国衰亡史（套装共6册）,[英] 爱德华·吉本 / 席代岳 / 吉林出版集团有限责任公司 / 2011-5 / 268.00元,9.1,《罗马帝国衰亡史》以堂皇宏阔的篇幅，叙述了罗马帝国从公元2世纪安东尼时代的赫赫盛极，到l453年君士坦丁熙陷落时黯然谢幕的l300多年的历史风貌。作者 在近...
